code,home_team,home_score,away_team,away_score,official_1,official_2,winner,loser
1999020644,Phoenix Coyotes,2,Buffalo Sabres,1,Robbie Shick,Jay Sharrers,Phoenix Coyotes,Buffalo Sabres
1999020645,Los Angeles Kings,2,Dallas Stars,5,Don Van Massenhoven,Wayne Bonney,Dallas Stars,Los Angeles Kings
1999020646,New Jersey Devils,4,New York Islanders,0,Dave Jackson,Kevin Maguire,New Jersey Devils,New York Islanders
1999020647,Atlanta Thrashers,3,Florida Panthers,3,Dan O'Halloran,Lance Roberts,Atlanta Thrashers,Florida Panthers
1999020648,Chicago Blackhawks,0,St. Louis Blues,3,Michael McGeough,Mark Pare,St. Louis Blues,Chicago Blackhawks
1999020649,Calgary Flames,5,Nashville Predators,4,Bill McCreary,Mike Cvik,Calgary Flames,Nashville Predators
1999020650,Anaheim Ducks,3,Colorado Avalanche,3,Mark Faucette,Don Van Massenhoven,Anaheim Ducks,Colorado Avalanche
1999020651,Toronto Maple Leafs,5,Washington Capitals,5,Terry Gregson,Greg Kimmerly,Toronto Maple Leafs,Washington Capitals
1999020652,Montréal Canadiens,4,Pittsburgh Penguins,2,Richard Trottier,Jean Morin,Montréal Canadiens,Pittsburgh Penguins
1999020653,Ottawa Senators,2,Detroit Red Wings,3,Stephen Walkom,Greg Devorski,Detroit Red Wings,Ottawa Senators
1999020654,New York Islanders,2,Tampa Bay Lightning,0,Bernard DeGrace,Gerry Gauthier,New York Islanders,Tampa Bay Lightning
1999020655,Carolina Hurricanes,4,Buffalo Sabres,1,Dan Marouelli,Brad Watson,Carolina Hurricanes,Buffalo Sabres
1999020656,Florida Panthers,4,Boston Bruins,3,Blaine Angus,Paul Stewart,Florida Panthers,Boston Bruins
1999020657,St. Louis Blues,1,New York Rangers,4,Dennis LaRue,Andy McElman,New York Rangers,St. Louis Blues
