code,home_team,home_score,away_team,away_score,official_1,official_2,home_outcome,away_outcome
1994020220,New York Islanders,3,Pittsburgh Penguins,1,Kerry Fraser,Pierre Champoux,1,0
1994020221,New Jersey Devils,3,Washington Capitals,3,Stephen Walkom,Pat Dapuzzo,0,0
1994020222,Toronto Maple Leafs,5,Winnipeg Jets (1979),2,Mick McGeough,Gordon Broseker,1,0
1994020223,Detroit Red Wings,2,St. Louis Blues,3,Marouelli,McCourt,0,1
1994020224,Edmonton Oilers,3,Los Angeles Kings,4,Terry Gregson,Swede Knox,0,1
1994020225,Buffalo Sabres,2,New York Rangers,4,Van Hellemond,Gordon Broseker,0,1
1994020226,Washington Capitals,1,Tampa Bay Lightning,1,Paul Stewart,Pat Dapuzzo,0,0
1994020227,Dallas Stars,1,Chicago Blackhawks,2,Roberts,Hodges,0,1
1994020228,San Jose Sharks,1,Vancouver Canucks,5,Jackson,Lazarowich,0,1
1994020229,Anaheim Ducks,3,Calgary Flames,5,Dennis Larue,Mike Cvik,0,1
1994020230,Ottawa Senators,0,Boston Bruins,2,Bill McCreary,Brian Murphy,0,1
1994020231,Quebec Nordiques,5,Pittsburgh Penguins,7,Mike McGeough,Gerard Gauthier,0,1
1994020232,New Jersey Devils,6,Montréal Canadiens,1,Paul Stewart,Gordon Broseker,1,0
1994020233,St. Louis Blues,3,Toronto Maple Leafs,2,Dan Marouelli,Andy McElman,1,0
1994020234,Ottawa Senators,3,Hartford Whalers,6,Andy van Hellemond,Brian Murphy,0,1
1994020235,New York Islanders,2,Montréal Canadiens,1,Paul Devorski,Gordon Broseker,1,0
1994020236,New York Rangers,0,Florida Panthers,0,Stephen Walkom,Ron Asselstine,0,0
1994020237,Philadelphia Flyers,4,Washington Capitals,2,Kerry Fraser,Ron Finn,1,0
1994020238,Winnipeg Jets (1979),0,Dallas Stars,4,Lance Roberts,Wayne Bonney,0,1
1994020239,Calgary Flames,5,Edmonton Oilers,2,Don Koharski,Randy Mitton,1,0
1994020240,Vancouver Canucks,3,San Jose Sharks,4,Richard Trottier,Shane Heyer,0,1
1994020241,Los Angeles Kings,4,Chicago Blackhawks,8,Dave Jackson,Mike Cvik,0,1
1994020242,Hartford Whalers,2,New York Rangers,5,Kerry Fraser,Ron Finn,0,1
1994020243,Quebec Nordiques,8,Tampa Bay Lightning,2,Andy van Hellemond,Pierre Champoux,1,0
1994020244,Edmonton Oilers,3,Dallas Stars,5,Don Koharski,Randy Mitton,0,1
1994020245,Anaheim Ducks,3,Chicago Blackhawks,1,David Jackson,Mike Cvik,1,0
1994020246,Boston Bruins,7,New Jersey Devils,2,Paul Devorski,Gerard Gauthier,1,0
1994020247,Buffalo Sabres,6,Pittsburgh Penguins,3,Marouelli,Scapinello,1,0
1994020248,Ottawa Senators,2,Tampa Bay Lightning,3,Stephen Walkom,Wayne Bonney,0,1
1994020249,New York Islanders,3,Washington Capitals,4,Terry Gregson,Ron Asselstine,0,1
1994020250,Philadelphia Flyers,2,Florida Panthers,2,Paul Stewart,Pat Dapuzzo,0,0
1994020251,Toronto Maple Leafs,3,San Jose Sharks,4,Don Van Massenhoven,Swede Knox,0,1
1994020252,Detroit Red Wings,6,Winnipeg Jets (1979),1,Bill McCreary,Mark Pare,1,0
1994020253,Calgary Flames,2,Vancouver Canucks,2,Richard Trottier,Andy McElman,0,0
1994020254,New York Rangers,5,Philadelphia Flyers,3,Terry Gregson,Ron Asselstine,1,0
1994020255,Dallas Stars,4,Anaheim Ducks,0,McGeough,Knox,1,0
1994020256,Edmonton Oilers,2,Chicago Blackhawks,5,Lance Roberts,Shane Heyer,0,1
1994020257,Boston Bruins,3,Pittsburgh Penguins,4,Don Koharski,Gerry Gauthier,0,1
1994020258,Hartford Whalers,3,Tampa Bay Lightning,2,Paul Stewart,Kevin Collins,1,0
1994020259,Quebec Nordiques,1,Buffalo Sabres,1,Stephen Walkom,Stephane Provost,0,0
1994020260,New Jersey Devils,6,Florida Panthers,1,Kerry Fraser,Pat Dapuzzo,1,0
1994020261,Washington Capitals,5,Montréal Canadiens,1,Paul Devorski,Gordon Broseker,1,0
1994020262,Toronto Maple Leafs,3,Calgary Flames,2,Bill McCreary,Wayne Bonney,1,0
1994020263,Winnipeg Jets (1979),4,San Jose Sharks,2,Dave Jackson,Andy McElman,1,0
1994020264,Los Angeles Kings,4,Vancouver Canucks,5,Dan Marouelli,Mike Cvik,0,1
1994020265,Hartford Whalers,2,Boston Bruins,5,Terry Gregson,Kevin Collins,0,1
1994020266,Buffalo Sabres,4,Montréal Canadiens,1,Jackson,Scapinello,1,0
1994020267,Ottawa Senators,3,New York Islanders,1,Don Van Massenhoven,Wayne Bonney,1,0
1994020268,Philadelphia Flyers,6,Pittsburgh Penguins,2,Paul Devorski,Pat Dapuzzo,1,0
1994020269,Washington Capitals,4,New York Rangers,2,Kerry Fraser,Gordon Broseker,1,0
1994020270,Chicago Blackhawks,3,Anaheim Ducks,0,Lance Roberts,Swede Knox,1,0
1994020271,Dallas Stars,2,St. Louis Blues,1,Marouelli,Lazarowich,1,0
1994020272,Winnipeg Jets (1979),3,Calgary Flames,2,Richard Trottier,Andy McElman,1,0
1994020273,Edmonton Oilers,4,Detroit Red Wings,2,Mick McGeough,Shane Heyer,1,0
1994020274,Quebec Nordiques,6,New Jersey Devils,3,Don van Masseenhoven,Gerard Gauthier,1,0
1994020275,New York Rangers,4,Ottawa Senators,3,Paul Stewart,Greg Devorski,1,0
1994020276,Dallas Stars,8,Los Angeles Kings,2,Faucette,Lazarowich,1,0
1994020277,Vancouver Canucks,2,Detroit Red Wings,5,Mike McGeough,Baron Parker,0,1
1994020278,Boston Bruins,1,Washington Capitals,3,Steven Walkom,Jean Morin,0,1
1994020279,Pittsburgh Penguins,4,Quebec Nordiques,5,Paul Devorski,Ron Asselstine,0,1
1994020280,New York Islanders,3,Hartford Whalers,1,Paul Stewart,Greg Devorski,1,0
1994020281,Tampa Bay Lightning,3,Philadelphia Flyers,4,Blaine Angus,Kevin Collins,0,1
1994020282,Chicago Blackhawks,3,Calgary Flames,6,Kerry Fraser,Wayne Bonney,0,1
1994020283,St. Louis Blues,6,Anaheim Ducks,3,Don Koharski,Leon Stickle,1,0
1994020284,Montréal Canadiens,2,Buffalo Sabres,2,Van Hellemond,Gauthier,0,0
1994020285,New York Rangers,6,New Jersey Devils,4,Dave Jackson,Greg Devorski,1,0
1994020286,Florida Panthers,3,Ottawa Senators,2,Blaine Angus,Kevin Collins #50,1,0
