,Ref,Team,Goals per Game
489,McGeough,Philadelphia Flyers,1.5
490,McGeough,Quebec Nordiques,7.0
491,McGeough,Boston Bruins,4.0
492,McGeough,New Jersey Devils,1.0
493,McGeough,Ottawa Senators,
494,McGeough,Colorado Avalanche,3.3333333333333335
495,McGeough,Phoenix Coyotes,
496,McGeough,Carolina Hurricanes,1.0
497,McGeough,Nashville Predators,
498,McGeough,Atlanta Thrashers,
499,McGeough,Minnesota Wild,
500,McGeough,Columbus Blue Jackets,
501,McGeough,Winnipeg Jets,
502,McGeough,Arizona Coyotes,
503,McGeough,Vegas Golden Knights,
504,Don Koharski,Buffalo Sabres,2.7419354838709675
505,Don Koharski,New York Rangers,2.863013698630137
506,Don Koharski,Pittsburgh Penguins,2.9846153846153847
507,Don Koharski,Tampa Bay Lightning,2.8536585365853657
508,Don Koharski,Chicago Blackhawks,2.8433734939759034
509,Don Koharski,Detroit Red Wings,3.263157894736842
510,Don Koharski,Calgary Flames,3.0
511,Don Koharski,Winnipeg Jets (1979),3.3333333333333335
512,Don Koharski,Anaheim Ducks,2.7169811320754715
513,Don Koharski,Edmonton Oilers,2.7384615384615385
514,Don Koharski,Dallas Stars,2.576923076923077
515,Don Koharski,Vancouver Canucks,3.015873015873016
516,Don Koharski,San Jose Sharks,3.0535714285714284
517,Don Koharski,St. Louis Blues,2.7972972972972974
518,Don Koharski,Los Angeles Kings,2.8550724637681157
519,Don Koharski,Toronto Maple Leafs,2.607594936708861
520,Don Koharski,Hartford Whalers,3.3
521,Don Koharski,Washington Capitals,2.912280701754386
522,Don Koharski,Florida Panthers,2.704225352112676
523,Don Koharski,New York Islanders,2.6
524,Don Koharski,Montréal Canadiens,2.462686567164179
525,Don Koharski,Philadelphia Flyers,2.635135135135135
526,Don Koharski,Quebec Nordiques,2.5
527,Don Koharski,Boston Bruins,2.635135135135135
528,Don Koharski,New Jersey Devils,2.824561403508772
529,Don Koharski,Ottawa Senators,3.04
530,Don Koharski,Colorado Avalanche,2.9130434782608696
531,Don Koharski,Phoenix Coyotes,2.6825396825396823
532,Don Koharski,Carolina Hurricanes,2.8076923076923075
533,Don Koharski,Nashville Predators,2.9743589743589745
534,Don Koharski,Atlanta Thrashers,2.764705882352941
535,Don Koharski,Minnesota Wild,2.6785714285714284
536,Don Koharski,Columbus Blue Jackets,2.5384615384615383
537,Don Koharski,Winnipeg Jets,
538,Don Koharski,Arizona Coyotes,
539,Don Koharski,Vegas Golden Knights,
